INFO 2020-07-08 22:14:25,610 basehttp 124 "GET /xadmin/homeapp/nav/add/ HTTP/1.1" 200 18385
WARNING 2020-07-08 22:14:25,628 basehttp 124 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1759
INFO 2020-07-08 22:14:29,656 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-07-08 22:14:46,812 basehttp 124 "POST /xadmin/homeapp/nav/add/ HTTP/1.1" 302 0
INFO 2020-07-08 22:14:50,895 basehttp 124 "GET /xadmin/homeapp/nav/add/ HTTP/1.1" 200 18385
WARNING 2020-07-08 22:14:50,913 basehttp 124 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1759
INFO 2020-07-08 22:14:54,952 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-07-08 22:15:13,180 basehttp 124 "POST /xadmin/homeapp/nav/add/ HTTP/1.1" 302 0
INFO 2020-07-08 22:15:17,277 basehttp 124 "GET /xadmin/homeapp/nav/add/ HTTP/1.1" 200 18385
WARNING 2020-07-08 22:15:17,293 basehttp 124 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1759
INFO 2020-07-08 22:15:21,324 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-07-08 22:16:36,006 basehttp 124 "POST /xadmin/homeapp/nav/add/ HTTP/1.1" 302 0
INFO 2020-07-08 22:16:40,083 basehttp 124 "GET /xadmin/homeapp/nav/add/ HTTP/1.1" 200 18386
WARNING 2020-07-08 22:16:40,099 basehttp 124 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1759
INFO 2020-07-08 22:16:44,130 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-07-08 22:17:02,058 basehttp 124 "POST /xadmin/homeapp/nav/add/ HTTP/1.1" 302 0
INFO 2020-07-08 22:17:06,150 basehttp 124 "GET /xadmin/homeapp/nav/add/ HTTP/1.1" 200 18386
ERROR 2020-07-08 22:17:06,153 basehttp 124 "GET /xadmin/homeapp/nav/add/ HTTP/1.1" 500 59
INFO 2020-07-08 22:17:07,091 basehttp 124 "POST /xadmin/homeapp/nav/add/ HTTP/1.1" 302 0
INFO 2020-07-08 22:17:11,189 basehttp 124 "GET /xadmin/homeapp/nav/add/ HTTP/1.1" 200 18718
WARNING 2020-07-08 22:17:11,208 basehttp 124 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1759
INFO 2020-07-08 22:17:15,231 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-07-08 22:18:00,593 basehttp 124 "POST /xadmin/homeapp/nav/add/ HTTP/1.1" 302 0
INFO 2020-07-08 22:18:04,689 basehttp 124 "GET /xadmin/homeapp/nav/add/ HTTP/1.1" 200 18386
WARNING 2020-07-08 22:18:04,709 basehttp 124 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1759
INFO 2020-07-08 22:18:08,727 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-07-08 22:18:29,889 basehttp 124 "POST /xadmin/homeapp/nav/add/ HTTP/1.1" 302 0
INFO 2020-07-08 22:18:33,999 basehttp 124 "GET /xadmin/homeapp/nav/add/ HTTP/1.1" 200 18386
WARNING 2020-07-08 22:18:34,016 basehttp 124 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1759
INFO 2020-07-08 22:18:38,048 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-07-08 22:18:59,053 basehttp 124 "POST /xadmin/homeapp/nav/add/ HTTP/1.1" 302 0
INFO 2020-07-08 22:19:03,163 basehttp 124 "GET /xadmin/homeapp/nav/add/ HTTP/1.1" 200 18386
WARNING 2020-07-08 22:19:03,181 basehttp 124 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1759
INFO 2020-07-08 22:19:07,208 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-07-08 22:30:24,658 basehttp 124 "GET /homeapp/nav/ HTTP/1.1" 200 740
INFO 2020-07-08 22:47:02,544 basehttp 124 "GET /homeapp/nav/ HTTP/1.1" 200 740
